Date,Merchant,Amount
2025-02-01,Electric Company,75.50
2025-03-18,Grocery Store,80.49
2025-01-03,Electric Company,75.50
2025-05-21,Coffee Shop,83.33
2025-03-07,Netflix,15.99
2025-03-03,Spotify,9.99
2025-01-02,Spotify,9.99
2025-06-10,Grocery Store,79.83
2025-04-08,Coffee Shop,66.44
2025-03-28,Grocery Store,41.17
2025-03-01,Gym Membership,30.00
2025-06-05,Netflix,15.99
2025-06-08,Gas Station,12.80
2025-01-06,Amazon Prime,14.99
2025-01-01,Gym Membership,30.00
2025-03-30,Gym Membership,30.00
2025-02-13,Gas Station,36.92
2025-06-29,Uber,29.05
2025-06-07,Amazon Prime,14.99
2025-01-24,Grocery Store,81.37
2025-04-22,Gas Station,97.13
2025-04-30,Gym Membership,30.00
2025-04-21,Grocery Store,81.54
2025-02-05,Amazon Prime,14.99
2025-05-26,Grocery Store,84.73
2025-01-04,Netflix,15.99
2025-04-02,Spotify,9.99
2025-04-13,Grocery Store,67.76
2025-05-29,Bookstore,54.49
2025-04-23,Coffee Shop,68.78
2025-03-30,Coffee Shop,47.25
2025-03-26,Gas Station,11.58
2025-06-28,Uber,28.30
2025-03-21,Uber,62.29
2025-05-29,Bookstore,6.06
2025-05-07,Amazon Prime,14.99
2025-02-09,Coffee Shop,64.65
2025-05-30,Electric Company,75.50
2025-04-30,Electric Company,75.50
2025-05-17,Coffee Shop,93.45
2025-03-23,Coffee Shop,87.33
2025-02-27,Coffee Shop,76.06
2025-06-08,Grocery Store,14.19
2025-06-29,Bookstore,66.16
2025-05-31,Spotify,9.99
2025-01-19,Uber,99.94
2025-02-02,Spotify,9.99
2025-01-18,Uber,10.10
2025-03-31,Electric Company,75.50
2025-05-11,Coffee Shop,95.44
2025-04-28,Uber,84.19
2025-02-04,Netflix,15.99
2025-01-19,Bookstore,30.10
2025-02-01,Bookstore,89.93
2025-03-04,Bookstore,93.60
2025-04-06,Netflix,15.99
2025-04-06,Amazon Prime,14.99
2025-03-08,Amazon Prime,14.99
2025-01-31,Gym Membership,30.00
2025-05-10,Bookstore,86.05
2025-05-09,Coffee Shop,37.06
2025-05-02,Spotify,9.99
2025-04-03,Coffee Shop,59.79
2025-04-19,Coffee Shop,71.43
2025-04-30,Gas Station,9.55
2025-03-03,Bookstore,86.79
2025-05-31,Gym Membership,30.00
2025-05-05,Netflix,15.99
2025-03-02,Electric Company,75.50
2025-01-22,Coffee Shop,57.49
